area,mechanism,owner,status,current,evidence,remaining
Action lifecycle,Outer/nested calculation provenance,"deep-combat-layer/00,12",partial-live-gated,Current-build callers and Rend's nested synthetic Attack are mapped; LT28 captures caller/state metadata observe-only.,tools/analyze_dcl_calc_provenance.py; work/1783997612-lt28-dcl-calc-provenance-live-plan.md,Run LT28 and bind caches to the proven outer/execution identity.
Damage,Deterministic HP damage apply,"deep-combat-layer/02,03",proven-live,Managed pre-clamp formulas rewrite staged HP debit through native HP/KO lifecycle.,codemod/fftivc.generic.chronicle.codemod/Mod.cs; docs/modding/06-code-mod-runtime-dsl.md,Integrate final numeric policy and full regression set.
Damage,Forecast damage/heal parity,deep-combat-layer/02,proven-live,Forecast source/poke paths and native HP ghost fields are mapped and controlled.,codemod/fftivc.generic.chronicle.codemod/Mod.cs; docs/modding/05-reverse-engineering.md,Exercise every final action family in the integrated profile.
Damage,"Damage types, DR, wound and penetration",deep-combat-layer/03,mechanism-ready,"Formula tables/maps/matrices express cut/thrust/crush/missile, subtractive DR, wound multipliers, and penetration floors.",work/1783980809-battle-runtime-settings.dcl-weapon-skill-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Author final item/action metadata and calibrate constants.
Defense,Physical hit contest and outcome delivery,deep-combat-layer/04,proven-live,Per-target Attack Skill versus Dodge/Parry/Block decisions share forecast and execution and suppress reactions on authored misses.,codemod/fftivc.generic.chronicle.codemod/DclPhysicalContest.cs; codemod/fftivc.generic.chronicle.codemod/DclHitDecisionCache.cs,Regress final action-family applicability and all presentation kinds.
Defense,Finite Parry/Block depletion,deep-combat-layer/04,mechanism-ready,Guard pools refresh on own-turn edges and spend a selected defense idempotently at delivery.,codemod/fftivc.generic.chronicle.codemod/DclPhysicalContest.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs,"Live-prove refresh, multi-hit spending, and pointer reuse/reset."
Position,Facing and flank/back policy,deep-combat-layer/05,proven-live,Coordinates/facing enum and front/side/back derived variables are owned.,docs/modding/04-engine-memory-model.md; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Calibrate final modifiers and regress bridge/map-level cases.
Position,"Reach, range, height and weapon LoS",deep-combat-layer/06,partial-live-gated,Range/coordinates/tile data are exposed; native Arc/Direct target-equality LoS is mapped and LT27 is prepared.,work/1783997612-lt28-dcl-calc-provenance-live-plan.md; docs/modding/04-engine-memory-model.md,"Run LT27, integrate synchronous resolver verdict, and author vertical policies."
Traits,Brave offense/defense/reaction policy,deep-combat-layer/07,mechanism-ready,Brave is formula-visible; courage/caution reaction taxonomy and exact-id real-code/VM chance controls exist.,codemod/fftivc.generic.chronicle.codemod/DclReactions.cs; docs/modding/06-code-mod-runtime-dsl.md,Ratify open curve/calibration values and live-test VM-scoped avoidance.
Traits,Faith magic output/vulnerability,deep-combat-layer/08,mechanism-ready,"Raw/effective Faith and magic pipeline variables support output, healing, vulnerability, and status resistance.",work/1783983032-battle-runtime-settings.dcl-magic-pipeline-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Ratify open Faith policy and run integrated magic regression.
