id_hex,id_dec,name_wotl,name_psx,name_ivc,ability_type,formula_hex,formula_text,x,y,range,aoe,vertical,ct,mp_cost,elements,inflict_status_hex,inflict_status_mode,inflict_statuses,ForceSelfTarget,Blank7,WeaponRange,VerticalFixed,VerticalTolerance,WeaponStrike,Auto,TargetSelf,HitEnemies,HitAllies,TopDownTarget,FollowTarget,RandomFire,LinearAttack,ThreeDirections,HitCaster,Reflectable,Arithmetickable,Silenceable,Mimicable,NormalAttack,Persevere,ShowQuote,AnimateOnMiss,CounterFlood,CounterMagic,Direct,Shirahadori,RequiresSword,RequiresMateriaBlade,Evadeable,Targeting,type_specific,jp_cost,used_by_enemies,psx_action_diff,raw14_psp,source
0x000,0,<Nothing>,<Nothing>,,Blank,0x0D,Heal_(Y)% Hit_F(MA+X)% NE,0,0,0,0,0,0,0,,0x00,,,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,,0,True,,00000020000892000D0000000000,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x001,1,Cure,Cure,Cure,Normal,0x0C,Heal_F(MA*Y) NS NE,0,14,4,1,1,4,6,,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,50,True,,0401010000E200000C000E000406,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x002,2,Cura,Cure 2,Cura,Normal,0x0C,Heal_F(MA*Y) NS NE,0,20,4,1,1,5,10,,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,180,True,,0401010000E200000C001400050A,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x003,3,Curaga,Cure 3,Curaga,Normal,0x0C,Heal_F(MA*Y) NS NE,0,30,4,1,2,7,16,,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,450,True,,0401020000E200000C001E000710,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x004,4,Curaja,Cure 4,Curaja,Normal,0x0C,Heal_F(MA*Y) NS NE,0,40,4,1,3,10,20,,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,800,True,,04010300002200000C0028000A14,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x005,5,Raise,Raise,Raise,Normal,0x0D,Heal_(Y)% Hit_F(MA+X)% NE,180,50,4,0,0,4,10,,0x20,Cancel,Dead,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,200,True,,0400000000E200000DB43220040A,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x006,6,Arise,Raise 2,Arise,Normal,0x0D,Heal_(Y)% Hit_F(MA+X)% NE,160,100,4,0,0,10,20,,0x20,Cancel,Dead,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,600,True,,0400000000E200000DA064200A14,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x007,7,Reraise,Reraise,Reraise,Normal,0x0B,Hit_F(MA+X)% NE,140,0,3,0,0,7,16,,0x21,AllOrNothing,Reraise,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,1000,True,,0300000000E200000B8C00210710,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x008,8,Regen,Regen,Regen,Normal,0x0B,Hit_F(MA+X)% NE,170,0,3,1,0,4,8,,0x22,AllOrNothing,Regen,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,350,True,,0301000000E200000BAA00220408,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x009,9,Protect,Protect,Protect,Normal,0x0B,Hit_F(MA+X)% NE,200,0,3,1,0,4,6,,0x23,AllOrNothing,Protect,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,70,True,,0301000000E200000BC800230406,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x00A,10,Protectja,Protect 2,Protectja,Normal,0x0B,Hit_F(MA+X)% NE,120,0,3,1,3,7,24,,0x23,AllOrNothing,Protect,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,600,True,,03010300002200000B7800230718,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x00B,11,Shell,Shell,Shell,Normal,0x0B,Hit_F(MA+X)% NE,200,0,3,1,0,4,6,,0x24,AllOrNothing,Shell,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,70,True,,0301000000E200000BC800240406,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x00C,12,Shellja,Shell 2,Shellja,Normal,0x0B,Hit_F(MA+X)% NE,120,0,3,1,3,7,20,,0x24,AllOrNothing,Shell,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,600,True,,03010300002200000B7800240714,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x00D,13,Wall,Wall,Wall,Normal,0x0B,Hit_F(MA+X)% NE,140,0,3,0,0,4,24,,0x25,AllOrNothing,Protect|Shell,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,400,True,,0300000000E200000B8C00250418,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x00E,14,Esuna,Esuna,Esuna,Normal,0x0B,Hit_F(MA+X)% NE,190,0,3,1,2,3,18,,0x26,Cancel,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Sleep|DontMove|DontAct,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,300,True,,0301020000E200000BBE00260312,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x00F,15,Holy,Holy,Holy,Normal,0x08,Dmg_F(MA*Y) ME,0,50,5,0,0,6,56,Holy,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,,600,True,,0500000000E24002080032000638,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x010,16,Fire,Fire,Fire,Normal,0x08,Dmg_F(MA*Y) ME,0,14,4,1,1,4,6,Fire,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,,50,True,,0401010000E2428008000E000406,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x011,17,Fira,Fire 2,Fira,Normal,0x08,Dmg_F(MA*Y) ME,0,18,4,1,2,5,12,Fire,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,,200,True,,0401020000E2428008001200050C,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x012,18,Firaga,Fire 3,Firaga,Normal,0x08,Dmg_F(MA*Y) ME,0,24,4,1,3,7,24,Fire,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,,500,True,,0401030000E24280080018000718,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x013,19,Firaja,Fire 4,Firaja,Normal,0x08,Dmg_F(MA*Y) ME,0,32,4,2,3,10,48,Fire,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,,900,True,,0402030001220280080020000A30,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x014,20,Thunder,Bolt,Thunder,Normal,0x08,Dmg_F(MA*Y) ME,0,14,4,1,1,4,6,Lightning,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,,50,True,,0401010000E2424008000E000406,FFTPatcher PSP(WotL) vanilla Abilities.bin
0x015,21,Thundara,Bolt 2,Thundara,Normal,0x08,Dmg_F(MA*Y) ME,0,18,4,1,2,5,10,Lightning,0x00,,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,,200,True,,0401020000E2424008001200050A,FFTPatcher PSP(WotL) vanilla Abilities.bin
