ability_id,ability_name,formula_hex,native_mode,native_statuses,authority_class,state,owner,next_gate
5,Raise,0x0D,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
6,Arise,0x0D,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
7,Reraise,0x0B,AllOrNothing,Reraise,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
8,Regen,0x0B,AllOrNothing,Regen,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
9,Protect,0x0B,AllOrNothing,Protect,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
10,Protectja,0x0B,AllOrNothing,Protect,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
11,Shell,0x0B,AllOrNothing,Shell,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
12,Shellja,0x0B,AllOrNothing,Shell,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
13,Wall,0x0B,AllOrNothing,Protect|Shell,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
14,Esuna,0x0B,Cancel,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Sleep|DontMove|DontAct,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
28,Poison,0x0A,AllOrNothing,Poison,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
29,Toad,0x0A,AllOrNothing,Frog,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
30,Death,0x0E,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
32,Haste,0x0B,AllOrNothing,Haste,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
33,Hasteja,0x0B,AllOrNothing,Haste,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
34,Slow,0x0A,AllOrNothing,Slow,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
35,Slowja,0x0A,AllOrNothing,Slow,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
36,Stop,0x0A,AllOrNothing,Stop,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
37,Immobilize,0x0A,AllOrNothing,DontMove,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
38,Float,0x0B,AllOrNothing,Float,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
39,Reflect,0x0B,AllOrNothing,Reflect,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
46,Umbra,0x0A,AllOrNothing,Darkness,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
49,Belief,0x0A,AllOrNothing,Faith,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
50,Disbelief,0x0A,AllOrNothing,Innocent,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
51,Corruption,0x0A,AllOrNothing,Undead,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
52,Quiescence,0x0A,AllOrNothing,Silence,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
53,Fervor,0x0A,AllOrNothing,Berserk,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
55,Delirium,0x0A,AllOrNothing,Confusion,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
56,Harmony,0x0A,Cancel,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
57,Hesitation,0x0A,AllOrNothing,DontAct,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
58,Repose,0x0A,AllOrNothing,Sleep,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
59,Induration,0x0A,AllOrNothing,Petrify,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
66,Carbuncle,0x0B,AllOrNothing,Reflect,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
71,Sylph,0x0A,AllOrNothing,Silence,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
80,Ame-no-Murakumo,0x20,AllOrNothing,Slow,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
81,Kiyomori,0x22,AllOrNothing,Protect|Shell,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
82,Muramasa,0x20,Random,Confusion|DeathSentence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
84,Masamune,0x22,AllOrNothing,Regen|Haste,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
91,Nameless Song,0x1C,Random,Reraise|Regen|Protect|Shell|Haste,performance-producer,mechanism-ready-live-gated,execution-only formula-0x1C random-one packet producer with native Sleep guard,Live-prove one Song and one Dance across two ticks plus a native stop/cleanup cause.
98,Forbidden Dance,0x1D,Random,Darkness|Confusion|Silence|Frog|Poison|Slow|Stop|Sleep,performance-producer,mechanism-ready-live-gated,execution-only formula-0x1D random-one packet producer with native Sleep guard,Live-prove one Song and one Dance across two ticks plus a native stop/cleanup cause.
104,Doom Fist,0x50,AllOrNothing,DeathSentence,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x50 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
105,Purification,0x33,Cancel,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Sleep|DontMove|DontAct,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x33 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
107,Revive,0x35,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
109,Steal Heart,0x29,AllOrNothing,Charm,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x29 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
116,Entice,0x2A,AllOrNothing,Invite,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x2A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
122,Condemn,0x2A,AllOrNothing,DeathSentence,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x2A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
124,Insult,0x2A,AllOrNothing,Berserk,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x2A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
125,Mimic Darlavon,0x2A,AllOrNothing,Sleep,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x2A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
126,Sinkhole,0x24,AllOrNothing,DontMove,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
