area,mechanism,owner,status,current,evidence,remaining
Action lifecycle,Outer/nested calculation provenance,"deep-combat-layer/00,02,12,18",mechanism-ready,"LT28 proved forecast-trace/state-0x19 versus outer-sweep/state-0x2A confirmed execution. The cache accepts only the execution pair and refuses formula-0x25's nested synthetic Attack overwrite, preserving the outer Rend identity.",tools/analyze_dcl_calc_provenance.py; work/1784070430-lt28-dcl-calc-provenance-live-result.md; codemod/fftivc.generic.chronicle.codemod/DclActionContextCache.cs,Live-confirm one natural Rend fallback row and charge-poll provenance; the execution-only producer boundary is already bound.
Damage,Deterministic HP damage apply,deep-combat-layer/05,proven-live,Managed pre-clamp formulas rewrite staged HP debit through native HP/KO lifecycle.,codemod/fftivc.generic.chronicle.codemod/Mod.cs; docs/modding/06-code-mod-runtime-dsl.md,Integrate a sentinel mechanism policy and run the full regression set; final balance values are out of scope.
Damage,Forecast damage/heal parity,"deep-combat-layer/05,09,13,14",proven-live,Forecast source/poke paths and native HP ghost fields are mapped and controlled.,codemod/fftivc.generic.chronicle.codemod/Mod.cs; docs/modding/05-reverse-engineering.md,Exercise every technical action family in the integrated mechanism profile.
Damage,"Damage types, DR, wound and penetration","deep-combat-layer/05,06",partial-live-gated,"The literal ST table and canonical injury resolver own dice normalization, minimum damage, exact armor divisors, DR-before-wound ordering, all wound multipliers, Major Wounds, KO short-circuiting, and capped critical knockback.",codemod/fftivc.generic.chronicle.codemod/DclStrengthDamage.cs; codemod/fftivc.generic.chronicle.codemod/DclInjury.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Connect location/equipment DR selection and native HP/state/displacement commits, then prove representative physical and manifested-magic verticals."
Defense,Physical hit contest and outcome delivery,deep-combat-layer/03,partial-live-gated,"The exact 3d6 contest and miss-delivery carrier are implemented, and live output control has suppressed damage and matching reactions. Canonical aptitude, facing, per-Strike defense selection, and cumulative defense resources are not yet connected to that carrier.",codemod/fftivc.generic.chronicle.codemod/DclPhysicalContest.cs; codemod/fftivc.generic.chronicle.codemod/DclHitDecisionCache.cs; codemod/fftivc.generic.chronicle.codemod/DclPhysicalRules.cs,"Bind the canonical action profile and transaction snapshot, then regress forecast, execution, AI, presentation, and every physical delivery family."
Defense,Repeated Parry and Block resource lifecycle,"deep-combat-layer/03,18",partial-live-gated,The canonical transaction snapshot tracks cumulative Parry attempts per weapon or limb with a -4 step and one Block attempt between defender turns. The earlier finite-Parry-use runtime is historical and is not a conforming DCL implementation.,codemod/fftivc.generic.chronicle.codemod/DclActionTransaction.cs; codemod/fftivc.generic.chronicle.codemod/DclPhysicalRules.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Replace the legacy live Guard-pool path, bind resets to the defender's native turn boundary, and prove per-Strike spending without extra Reaction windows."
Damage,Barrage weapon multistrike carrier,"deep-combat-layer/03,16,18",mechanism-ready,"Formula 0x6A writes fixed count four into the shared native repeat counter. Each result delegates to the exact order-payload weapon formula and ordinary normal-attack postprocessor; RandomFire is clear, so the original single target remains selected. The native result producer increments the shared index and publishes continuation per result.",tools/analyze_dcl_multistrike_transactions.py; tools/analyze_dcl_active_weapon_payload.py; codemod/fftivc.generic.chronicle.codemod/DclNativeRepeat.cs; tools/report_dcl_ability_classification.py,"Live-confirm the four mapped repeats through pre-clamp/apply, presentation, and reaction cadence."
Position,Facing and flank/back policy,deep-combat-layer/04,proven-live,Coordinates/facing enum and front/side/back derived variables are owned.,docs/modding/04-engine-memory-model.md; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Regress bridge/map-level geometry with sentinel modifiers; final calibration is out of scope.
Position,"Reach, range, height and weapon LoS","deep-combat-layer/04,07,12",partial-live-gated,Range/coordinates/tile data are exposed; native Arc/Direct target-equality LoS is mapped and LT27 is prepared.,work/1783996629-lt27-dcl-weapon-line-of-fire-live-plan.md; docs/modding/04-engine-memory-model.md,"Run LT27, prove reaction-delivered bow/gun attacks traverse the resolver, then integrate a synchronous verdict and author vertical policies."
Traits,Brave offense/defense/reaction inputs,"deep-combat-layer/01,08,15,18",partial-live-gated,Brave and derived HT are formula-visible. The existing courage/caution raw-Brave Reaction taxonomy is superseded by the DCL activation-mode contract and is not a conforming final Reaction gate.,codemod/fftivc.generic.chronicle.codemod/DclReactions.cs; docs/modding/06-code-mod-runtime-dsl.md,"Replace raw-Brave Reaction chance routing with AutomaticTrigger, SkillResponse, and one-reference ActivationRoll metadata before integration."
