job,reaction,filter_readiness,filter_formula_surface,missing_filter_signal,trigger_window,effect_delivery,cadence_commit,next_offline_step,live_gate
Squire,Counter Tackle,ready-in-context,source/action + hit + weapon-strike + grid distance,none,native candidate,native shove candidate; DCL reach/contest policy is not integrated,native/default,trace the native shove/effect staging and decide multi-hit policy,confirm exact trigger/effect at id 436
Squire,Grit,design-open,low-HP and Critical status are visible,final trigger and payoff are under-specified,candidate Critical: Recover HP window,missing authored effect,condition only,finish the visible minor-clutch design before choosing a record/effect hook,only after the design and record are fixed
Chemist,Auto-Potion,partial-context,hit-known + survivor HP/KO state,reaction context has no committed-damage amount/phase signal,native Auto-Potion window,"native selector is Potion/Hi-Potion/X-Potion only, first available; inventory decrement is a Strong candidate; final Chemist authors no Item Lore multiplier",primitive-only: own-turn cycle; all three execution commits are probed,map the VM-to-item-decrement edge and bind cadence at the owning commit pass,"prove post-damage timing, survivor guard, one-item consumption, native heal amount, and cadence"
Knight,Riposte,ready-in-context,miss/defended + weapon-strike + adjacency,none,native Counter 442 can be staged at unit+0x1CE before pass 2; source lifetime is not live-proven,Counter 442 already authors type-1/payload-0 attack against the source global; action replacement vertical slice is prepared,primitive-only: attacker action; all three execution commits are probed,"prepare a log-only pre-selector producer plan, gated by the DCL miss/defended decision cache","prove source ownership, one counter per attacker action, and no forecast consumption"
Archer,Countershot,partial-context,source/action + Invisible status + coordinates + target weapon/range + ability range/AoE metadata,true line of sight and authoritative ranged-family semantics,mixed: native Archer's Bane window is insufficient; Counter 442 is a candidate generic source-target carrier,basic-action replacement is prepared log-only inside an accepted carrier window,primitive-only: own-turn cycle; all three execution commits are probed,"reverse-engineer LoS/target-inclusion, then pair the pass-2 producer with a shot action replacement","prove AoE inclusion, magic trigger, shot replacement, LoS, and cadence"
White Mage,Regenerator,ready-in-context,hit-known + survivor HP/KO state,none for the authored trigger,native Regenerate window,native Regen effect candidate,native/default,verify the native record adds Regen only after a qualifying hit,vertical slice for Caution chance plus native effect
Black Mage,Rod Counter,partial-context,hostile/non-self + survivor + direct flag + Invisible + distance + Rod/range,true line of sight and authoritative reaction/DoT/field provenance,mixed: Magick Counter does not cover every direct hostile action,Rod/basic-action replacement is prepared log-only inside an accepted carrier window,primitive-only: attacker action; execution commit candidate/probe prepared,map action provenance and prove basic-bolt action replacement,"prove exclusions, LoS, Magic Evade, replacement, and cadence"
Monk,Adrenaline Rush,partial-context,HP threshold and Critical status are visible,damage-event and own-turn-start trigger producers,missing for combined damage/start-turn policy,design open between PA and Speed/CT; temporary non-stack layer missing,battle-reset/visible-tier ownership missing,"resolve the payoff, then implement turn-start/damage producers and visible temporary state","prove non-stack, duration, reset, and no permanent growth"
Thief,Vigilance,ready-in-context,source/action + Invisible status,none if visible means not Invisible; true LoS would be a new requirement,wrong phase: avoidance must arm before the incoming roll,transient per-attack Dodge input is missing,primitive-only: own-turn cycle,reuse the per-action avoidance input surface with an execution-safe arm/restore token,prove only the qualifying attack receives Dodge and no self-stack
Mystic,Hex Ward,ready-in-context,hit-known + incoming source,none for struck,native/candidate reaction window,attacker-directed status/stat effect is missing,native/default,map reaction action target inversion and status-add delivery to the incoming source,"prove Blind/Brave-down decision, immunity, and target direction"
Time Mage,Mana Shield,partial-context,hit-known + current HP/MP,committed incoming-damage amount/phase is not present in reaction formulas,native Mana Shield window,native redirect exists; authored atomic ratio/floor policy is not integrated,per hit while MP remains,trace the native HP-to-MP redirect commit and decide whether the final ratio can remain native,"prove atomic HP/MP result, depletion floor, miss composition, and Caution chance"
Geomancer,Nature's Wrath,ready-in-context,source/action + Invisible status + close grid distance,none for the documented visibility rule,native Nature's Wrath candidate,action-id replacement is prepared log-only; tile selection/no-rider split remains missing,primitive-only: attacker action; execution commit candidate/probe prepared,trace native terrain selection and split damage from status-rider staging,"prove own-tile selection, no rider/Scar, cause filter, and cadence"
Dragoon,Dragon's Fury,ready-in-context,source/action + Invisible status + reach distance + target Polearm equipment,none for the documented trigger,Counter 442 pass-2 staging is a candidate new counter window,basic-strike replacement is prepared log-only inside an accepted carrier window,primitive-only: attacker action; all three execution commits are probed,pair the log-only pass-2 producer plan with target weapon/reach context,"prove reach 2, point-blank penalty, weapon gate, source ownership, and cadence"
Orator,Open,intentional-open,not applicable,no reaction is authored,not applicable,not applicable,not applicable,do not fabricate a mechanism before the design chooses a reaction,none
Summoner,Open,intentional-open,not applicable,no reaction is authored,not applicable,not applicable,not applicable,do not fabricate a mechanism before the design chooses a reaction,none
Dancer,Earplugs,design-partial,exact ability-id families can be expressed through a FormulaMap,the performance/speech/morale membership list is not authored,native Earplugs window candidate,native immunity/avoidance effect needs exact-scope audit,per eligible effect,"author the protected action/status set, then trace the native Earplugs check",prove narrow scope against real Bard/Dancer/Orator actions
