area,mechanism,owner,status,current,evidence,remaining
Action lifecycle,Outer/nested calculation provenance,"deep-combat-layer/00,12",mechanism-ready,"LT28 proved forecast-trace/state-0x19 versus outer-sweep/state-0x2A confirmed execution. The cache accepts only the execution pair and refuses formula-0x25's nested synthetic Attack overwrite, preserving the outer Rend identity.",tools/analyze_dcl_calc_provenance.py; work/1784070430-lt28-dcl-calc-provenance-live-result.md; codemod/fftivc.generic.chronicle.codemod/DclActionContextCache.cs,Live-confirm one natural Rend fallback row and charge-poll provenance; the execution-only producer boundary is already bound.
Damage,Deterministic HP damage apply,"deep-combat-layer/02,03",proven-live,Managed pre-clamp formulas rewrite staged HP debit through native HP/KO lifecycle.,codemod/fftivc.generic.chronicle.codemod/Mod.cs; docs/modding/06-code-mod-runtime-dsl.md,Integrate final numeric policy and full regression set.
Damage,Forecast damage/heal parity,deep-combat-layer/02,proven-live,Forecast source/poke paths and native HP ghost fields are mapped and controlled.,codemod/fftivc.generic.chronicle.codemod/Mod.cs; docs/modding/05-reverse-engineering.md,Exercise every final action family in the integrated profile.
Damage,"Damage types, DR, wound and penetration",deep-combat-layer/03,mechanism-ready,"Formula tables/maps/matrices express cut/thrust/crush/missile, subtractive DR, wound multipliers, and penetration floors.",work/1783980809-battle-runtime-settings.dcl-weapon-skill-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Author final item/action metadata and calibrate constants.
Defense,Physical hit contest and outcome delivery,deep-combat-layer/04,proven-live,Per-target Attack Skill versus Dodge/Parry/Block decisions share forecast and execution and suppress reactions on authored misses.,codemod/fftivc.generic.chronicle.codemod/DclPhysicalContest.cs; codemod/fftivc.generic.chronicle.codemod/DclHitDecisionCache.cs,Regress final action-family applicability and all presentation kinds.
Defense,Finite Parry/Block depletion,deep-combat-layer/04,mechanism-ready,"Guard pools refresh on own-turn edges and spend a selected defense idempotently at delivery. Approved physical multistrikes generate independent contests against a local Guard ladder, cache the aggregate, calculate exact stateful any-hit probability, and atomically debit every selected finite defense at the outer apply.",codemod/fftivc.generic.chronicle.codemod/DclPhysicalContest.cs; codemod/fftivc.generic.chronicle.codemod/DclMultistrike.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs; work/1784014720-dcl-pummel-multistrike-live-plan.md,"Live-prove Pummel aggregate delivery, per-strike Guard spending, reaction cardinality, refresh, and pointer reuse/reset."
Damage,Barrage weapon multistrike carrier,"deep-combat-layer/04,10",mechanism-ready,"Formula 0x6A writes fixed count four into the shared native repeat counter. Each result delegates to the exact order-payload weapon formula and ordinary normal-attack postprocessor; RandomFire is clear, so the original single target remains selected. The native result producer increments the shared index and publishes continuation per result.",tools/analyze_dcl_multistrike_transactions.py; tools/analyze_dcl_active_weapon_payload.py; codemod/fftivc.generic.chronicle.codemod/DclNativeRepeat.cs; tools/report_dcl_ability_classification.py,"Live-confirm the four mapped repeats through pre-clamp/apply, presentation, and reaction cadence."
Position,Facing and flank/back policy,deep-combat-layer/05,proven-live,Coordinates/facing enum and front/side/back derived variables are owned.,docs/modding/04-engine-memory-model.md; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Calibrate final modifiers and regress bridge/map-level cases.
Position,"Reach, range, height and weapon LoS",deep-combat-layer/06,partial-live-gated,Range/coordinates/tile data are exposed; native Arc/Direct target-equality LoS is mapped and LT27 is prepared.,work/1783996629-lt27-dcl-weapon-line-of-fire-live-plan.md; docs/modding/04-engine-memory-model.md,"Run LT27, prove reaction-delivered bow/gun attacks traverse the resolver, then integrate a synchronous verdict and author vertical policies."
Traits,Brave offense/defense/reaction policy,deep-combat-layer/07,mechanism-ready,Brave is formula-visible; courage/caution reaction taxonomy and exact-id real-code/VM chance controls exist.,codemod/fftivc.generic.chronicle.codemod/DclReactions.cs; docs/modding/06-code-mod-runtime-dsl.md,Ratify open curve/calibration values and live-test VM-scoped avoidance.
